pathway_id,pathway_name,description
PATH0001,Biological Pathway 1,"Pathway 1 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0002,Biological Pathway 2,"Pathway 2 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0003,Biological Pathway 3,"Pathway 3 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0004,Biological Pathway 4,"Pathway 4 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0005,Biological Pathway 5,"Pathway 5 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0006,Biological Pathway 6,"Pathway 6 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0007,Biological Pathway 7,"Pathway 7 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0008,Biological Pathway 8,"Pathway 8 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0009,Biological Pathway 9,"Pathway 9 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0010,Biological Pathway 10,"Pathway 10 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0011,Biological Pathway 11,"Pathway 11 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0012,Biological Pathway 12,"Pathway 12 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0013,Biological Pathway 13,"Pathway 13 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0014,Biological Pathway 14,"Pathway 14 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0015,Biological Pathway 15,"Pathway 15 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0016,Biological Pathway 16,"Pathway 16 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0017,Biological Pathway 17,"Pathway 17 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0018,Biological Pathway 18,"Pathway 18 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0019,Biological Pathway 19,"Pathway 19 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0020,Biological Pathway 20,"Pathway 20 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0021,Biological Pathway 21,"Pathway 21 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0022,Biological Pathway 22,"Pathway 22 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0023,Biological Pathway 23,"Pathway 23 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0024,Biological Pathway 24,"Pathway 24 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0025,Biological Pathway 25,"Pathway 25 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0026,Biological Pathway 26,"Pathway 26 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0027,Biological Pathway 27,"Pathway 27 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0028,Biological Pathway 28,"Pathway 28 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0029,Biological Pathway 29,"Pathway 29 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0030,Biological Pathway 30,"Pathway 30 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0031,Biological Pathway 31,"Pathway 31 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0032,Biological Pathway 32,"Pathway 32 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0033,Biological Pathway 33,"Pathway 33 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0034,Biological Pathway 34,"Pathway 34 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0035,Biological Pathway 35,"Pathway 35 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0036,Biological Pathway 36,"Pathway 36 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0037,Biological Pathway 37,"Pathway 37 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0038,Biological Pathway 38,"Pathway 38 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0039,Biological Pathway 39,"Pathway 39 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0040,Biological Pathway 40,"Pathway 40 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0041,Biological Pathway 41,"Pathway 41 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0042,Biological Pathway 42,"Pathway 42 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0043,Biological Pathway 43,"Pathway 43 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0044,Biological Pathway 44,"Pathway 44 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0045,Biological Pathway 45,"Pathway 45 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0046,Biological Pathway 46,"Pathway 46 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0047,Biological Pathway 47,"Pathway 47 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0048,Biological Pathway 48,"Pathway 48 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0049,Biological Pathway 49,"Pathway 49 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0050,Biological Pathway 50,"Pathway 50 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0051,Biological Pathway 51,"Pathway 51 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0052,Biological Pathway 52,"Pathway 52 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0053,Biological Pathway 53,"Pathway 53 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0054,Biological Pathway 54,"Pathway 54 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0055,Biological Pathway 55,"Pathway 55 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0056,Biological Pathway 56,"Pathway 56 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0057,Biological Pathway 57,"Pathway 57 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0058,Biological Pathway 58,"Pathway 58 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0059,Biological Pathway 59,"Pathway 59 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0060,Biological Pathway 60,"Pathway 60 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0061,Biological Pathway 61,"Pathway 61 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0062,Biological Pathway 62,"Pathway 62 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0063,Biological Pathway 63,"Pathway 63 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0064,Biological Pathway 64,"Pathway 64 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0065,Biological Pathway 65,"Pathway 65 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0066,Biological Pathway 66,"Pathway 66 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0067,Biological Pathway 67,"Pathway 67 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0068,Biological Pathway 68,"Pathway 68 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0069,Biological Pathway 69,"Pathway 69 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0070,Biological Pathway 70,"Pathway 70 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0071,Biological Pathway 71,"Pathway 71 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0072,Biological Pathway 72,"Pathway 72 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0073,Biological Pathway 73,"Pathway 73 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0074,Biological Pathway 74,"Pathway 74 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0075,Biological Pathway 75,"Pathway 75 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0076,Biological Pathway 76,"Pathway 76 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0077,Biological Pathway 77,"Pathway 77 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0078,Biological Pathway 78,"Pathway 78 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0079,Biological Pathway 79,"Pathway 79 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0080,Biological Pathway 80,"Pathway 80 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0081,Biological Pathway 81,"Pathway 81 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0082,Biological Pathway 82,"Pathway 82 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0083,Biological Pathway 83,"Pathway 83 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0084,Biological Pathway 84,"Pathway 84 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0085,Biological Pathway 85,"Pathway 85 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0086,Biological Pathway 86,"Pathway 86 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0087,Biological Pathway 87,"Pathway 87 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0088,Biological Pathway 88,"Pathway 88 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0089,Biological Pathway 89,"Pathway 89 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0090,Biological Pathway 90,"Pathway 90 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0091,Biological Pathway 91,"Pathway 91 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0092,Biological Pathway 92,"Pathway 92 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0093,Biological Pathway 93,"Pathway 93 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0094,Biological Pathway 94,"Pathway 94 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0095,Biological Pathway 95,"Pathway 95 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0096,Biological Pathway 96,"Pathway 96 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0097,Biological Pathway 97,"Pathway 97 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0098,Biological Pathway 98,"Pathway 98 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0099,Biological Pathway 99,"Pathway 99 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0100,Biological Pathway 100,"Pathway 100 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0101,Biological Pathway 101,"Pathway 101 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0102,Biological Pathway 102,"Pathway 102 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0103,Biological Pathway 103,"Pathway 103 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0104,Biological Pathway 104,"Pathway 104 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0105,Biological Pathway 105,"Pathway 105 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0106,Biological Pathway 106,"Pathway 106 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0107,Biological Pathway 107,"Pathway 107 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0108,Biological Pathway 108,"Pathway 108 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0109,Biological Pathway 109,"Pathway 109 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0110,Biological Pathway 110,"Pathway 110 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0111,Biological Pathway 111,"Pathway 111 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0112,Biological Pathway 112,"Pathway 112 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0113,Biological Pathway 113,"Pathway 113 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0114,Biological Pathway 114,"Pathway 114 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0115,Biological Pathway 115,"Pathway 115 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0116,Biological Pathway 116,"Pathway 116 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0117,Biological Pathway 117,"Pathway 117 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0118,Biological Pathway 118,"Pathway 118 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0119,Biological Pathway 119,"Pathway 119 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0120,Biological Pathway 120,"Pathway 120 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0121,Biological Pathway 121,"Pathway 121 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0122,Biological Pathway 122,"Pathway 122 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0123,Biological Pathway 123,"Pathway 123 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0124,Biological Pathway 124,"Pathway 124 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0125,Biological Pathway 125,"Pathway 125 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0126,Biological Pathway 126,"Pathway 126 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0127,Biological Pathway 127,"Pathway 127 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0128,Biological Pathway 128,"Pathway 128 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0129,Biological Pathway 129,"Pathway 129 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0130,Biological Pathway 130,"Pathway 130 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0131,Biological Pathway 131,"Pathway 131 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0132,Biological Pathway 132,"Pathway 132 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0133,Biological Pathway 133,"Pathway 133 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0134,Biological Pathway 134,"Pathway 134 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0135,Biological Pathway 135,"Pathway 135 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0136,Biological Pathway 136,"Pathway 136 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0137,Biological Pathway 137,"Pathway 137 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0138,Biological Pathway 138,"Pathway 138 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0139,Biological Pathway 139,"Pathway 139 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0140,Biological Pathway 140,"Pathway 140 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0141,Biological Pathway 141,"Pathway 141 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0142,Biological Pathway 142,"Pathway 142 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0143,Biological Pathway 143,"Pathway 143 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0144,Biological Pathway 144,"Pathway 144 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0145,Biological Pathway 145,"Pathway 145 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0146,Biological Pathway 146,"Pathway 146 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0147,Biological Pathway 147,"Pathway 147 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0148,Biological Pathway 148,"Pathway 148 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0149,Biological Pathway 149,"Pathway 149 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0150,Biological Pathway 150,"Pathway 150 involved in cellular signaling, metabolism, and disease mechanisms."
