pathway_id,pathway_name,description
PATH0151,Biological Pathway 151,"Pathway 151 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0152,Biological Pathway 152,"Pathway 152 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0153,Biological Pathway 153,"Pathway 153 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0154,Biological Pathway 154,"Pathway 154 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0155,Biological Pathway 155,"Pathway 155 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0156,Biological Pathway 156,"Pathway 156 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0157,Biological Pathway 157,"Pathway 157 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0158,Biological Pathway 158,"Pathway 158 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0159,Biological Pathway 159,"Pathway 159 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0160,Biological Pathway 160,"Pathway 160 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0161,Biological Pathway 161,"Pathway 161 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0162,Biological Pathway 162,"Pathway 162 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0163,Biological Pathway 163,"Pathway 163 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0164,Biological Pathway 164,"Pathway 164 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0165,Biological Pathway 165,"Pathway 165 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0166,Biological Pathway 166,"Pathway 166 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0167,Biological Pathway 167,"Pathway 167 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0168,Biological Pathway 168,"Pathway 168 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0169,Biological Pathway 169,"Pathway 169 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0170,Biological Pathway 170,"Pathway 170 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0171,Biological Pathway 171,"Pathway 171 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0172,Biological Pathway 172,"Pathway 172 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0173,Biological Pathway 173,"Pathway 173 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0174,Biological Pathway 174,"Pathway 174 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0175,Biological Pathway 175,"Pathway 175 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0176,Biological Pathway 176,"Pathway 176 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0177,Biological Pathway 177,"Pathway 177 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0178,Biological Pathway 178,"Pathway 178 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0179,Biological Pathway 179,"Pathway 179 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0180,Biological Pathway 180,"Pathway 180 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0181,Biological Pathway 181,"Pathway 181 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0182,Biological Pathway 182,"Pathway 182 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0183,Biological Pathway 183,"Pathway 183 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0184,Biological Pathway 184,"Pathway 184 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0185,Biological Pathway 185,"Pathway 185 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0186,Biological Pathway 186,"Pathway 186 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0187,Biological Pathway 187,"Pathway 187 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0188,Biological Pathway 188,"Pathway 188 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0189,Biological Pathway 189,"Pathway 189 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0190,Biological Pathway 190,"Pathway 190 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0191,Biological Pathway 191,"Pathway 191 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0192,Biological Pathway 192,"Pathway 192 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0193,Biological Pathway 193,"Pathway 193 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0194,Biological Pathway 194,"Pathway 194 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0195,Biological Pathway 195,"Pathway 195 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0196,Biological Pathway 196,"Pathway 196 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0197,Biological Pathway 197,"Pathway 197 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0198,Biological Pathway 198,"Pathway 198 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0199,Biological Pathway 199,"Pathway 199 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0200,Biological Pathway 200,"Pathway 200 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0201,Biological Pathway 201,"Pathway 201 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0202,Biological Pathway 202,"Pathway 202 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0203,Biological Pathway 203,"Pathway 203 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0204,Biological Pathway 204,"Pathway 204 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0205,Biological Pathway 205,"Pathway 205 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0206,Biological Pathway 206,"Pathway 206 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0207,Biological Pathway 207,"Pathway 207 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0208,Biological Pathway 208,"Pathway 208 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0209,Biological Pathway 209,"Pathway 209 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0210,Biological Pathway 210,"Pathway 210 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0211,Biological Pathway 211,"Pathway 211 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0212,Biological Pathway 212,"Pathway 212 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0213,Biological Pathway 213,"Pathway 213 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0214,Biological Pathway 214,"Pathway 214 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0215,Biological Pathway 215,"Pathway 215 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0216,Biological Pathway 216,"Pathway 216 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0217,Biological Pathway 217,"Pathway 217 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0218,Biological Pathway 218,"Pathway 218 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0219,Biological Pathway 219,"Pathway 219 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0220,Biological Pathway 220,"Pathway 220 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0221,Biological Pathway 221,"Pathway 221 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0222,Biological Pathway 222,"Pathway 222 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0223,Biological Pathway 223,"Pathway 223 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0224,Biological Pathway 224,"Pathway 224 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0225,Biological Pathway 225,"Pathway 225 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0226,Biological Pathway 226,"Pathway 226 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0227,Biological Pathway 227,"Pathway 227 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0228,Biological Pathway 228,"Pathway 228 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0229,Biological Pathway 229,"Pathway 229 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0230,Biological Pathway 230,"Pathway 230 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0231,Biological Pathway 231,"Pathway 231 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0232,Biological Pathway 232,"Pathway 232 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0233,Biological Pathway 233,"Pathway 233 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0234,Biological Pathway 234,"Pathway 234 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0235,Biological Pathway 235,"Pathway 235 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0236,Biological Pathway 236,"Pathway 236 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0237,Biological Pathway 237,"Pathway 237 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0238,Biological Pathway 238,"Pathway 238 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0239,Biological Pathway 239,"Pathway 239 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0240,Biological Pathway 240,"Pathway 240 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0241,Biological Pathway 241,"Pathway 241 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0242,Biological Pathway 242,"Pathway 242 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0243,Biological Pathway 243,"Pathway 243 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0244,Biological Pathway 244,"Pathway 244 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0245,Biological Pathway 245,"Pathway 245 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0246,Biological Pathway 246,"Pathway 246 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0247,Biological Pathway 247,"Pathway 247 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0248,Biological Pathway 248,"Pathway 248 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0249,Biological Pathway 249,"Pathway 249 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0250,Biological Pathway 250,"Pathway 250 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0251,Biological Pathway 251,"Pathway 251 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0252,Biological Pathway 252,"Pathway 252 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0253,Biological Pathway 253,"Pathway 253 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0254,Biological Pathway 254,"Pathway 254 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0255,Biological Pathway 255,"Pathway 255 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0256,Biological Pathway 256,"Pathway 256 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0257,Biological Pathway 257,"Pathway 257 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0258,Biological Pathway 258,"Pathway 258 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0259,Biological Pathway 259,"Pathway 259 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0260,Biological Pathway 260,"Pathway 260 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0261,Biological Pathway 261,"Pathway 261 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0262,Biological Pathway 262,"Pathway 262 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0263,Biological Pathway 263,"Pathway 263 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0264,Biological Pathway 264,"Pathway 264 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0265,Biological Pathway 265,"Pathway 265 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0266,Biological Pathway 266,"Pathway 266 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0267,Biological Pathway 267,"Pathway 267 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0268,Biological Pathway 268,"Pathway 268 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0269,Biological Pathway 269,"Pathway 269 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0270,Biological Pathway 270,"Pathway 270 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0271,Biological Pathway 271,"Pathway 271 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0272,Biological Pathway 272,"Pathway 272 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0273,Biological Pathway 273,"Pathway 273 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0274,Biological Pathway 274,"Pathway 274 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0275,Biological Pathway 275,"Pathway 275 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0276,Biological Pathway 276,"Pathway 276 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0277,Biological Pathway 277,"Pathway 277 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0278,Biological Pathway 278,"Pathway 278 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0279,Biological Pathway 279,"Pathway 279 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0280,Biological Pathway 280,"Pathway 280 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0281,Biological Pathway 281,"Pathway 281 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0282,Biological Pathway 282,"Pathway 282 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0283,Biological Pathway 283,"Pathway 283 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0284,Biological Pathway 284,"Pathway 284 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0285,Biological Pathway 285,"Pathway 285 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0286,Biological Pathway 286,"Pathway 286 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0287,Biological Pathway 287,"Pathway 287 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0288,Biological Pathway 288,"Pathway 288 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0289,Biological Pathway 289,"Pathway 289 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0290,Biological Pathway 290,"Pathway 290 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0291,Biological Pathway 291,"Pathway 291 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0292,Biological Pathway 292,"Pathway 292 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0293,Biological Pathway 293,"Pathway 293 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0294,Biological Pathway 294,"Pathway 294 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0295,Biological Pathway 295,"Pathway 295 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0296,Biological Pathway 296,"Pathway 296 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0297,Biological Pathway 297,"Pathway 297 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0298,Biological Pathway 298,"Pathway 298 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0299,Biological Pathway 299,"Pathway 299 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0300,Biological Pathway 300,"Pathway 300 involved in cellular signaling, metabolism, and disease mechanisms."
